"Incendios forestais e superficie queimada por distritos forestais. Galicia. Datos desde 2007";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"Unidade: Número de incendios e superficie en Hectáreas";"";"";"";"";"";"";"";""
"Variables en filas: Incendios e superficie afectada, Distritos forestais";"";"";"";"";"";"";"";""
"Variables en columnas: Tempo";"";"";"";"";"";"";"";""
"";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Número de incendios forestais";"";"";"";"";"";"";"";""
"Galicia [+]";"3.120";"1.338";"1.653";"1.527";"950";"1.713";"908";"755"
"A Coruña [+]";"593";"349";"421";"357";"217";"349";"193";"130"
"Distrito I - Ferrol";"75";"48";"45";"47";"27";"49";"29";"15"
"Distrito II - Bergantiños-Mariñas Coruñesas";"164";"89";"127";"101";"65";"104";"78";"44"
"Distrito III - Santiago-Meseta Interior";"181";"81";"68";"48";"44";"69";"22";"37"
"Distrito IV - O Barbanza";"100";"75";"126";"119";"62";"88";"44";"23"
"Distrito V - Fisterra";"73";"56";"55";"42";"19";"39";"20";"11"
"Lugo [+]";"623";"195";"256";"216";"153";"277";"168";"98"
"Ourense [+]";"1.332";"465";"648";"594";"376";"636";"300";"290"
"Pontevedra [+]";"572";"329";"328";"360";"204";"451";"247";"237"
"Superficie total (ha)";"";"";"";"";"";"";"";""
"Galicia [+]";"62.096,26";"2.599,66";"6.835,53";"14.823,92";"4.403,18";"51.642,58";"6.748,92";"2.644,70"
"A Coruña [+]";"2.255,04";"366,19";"2.478,29";"883,64";"401,49";"2.694,10";"299,87";"250,68"
"Distrito I - Ferrol";"771,90";"75,45";"99,39";"42,25";"58,75";"247,12";"68,94";"15,66"
"Distrito II - Bergantiños-Mariñas Coruñesas";"244,02";"35,87";"116,15";"145,32";"173,31";"45,45";"56,36";"9,32"
"Distrito III - Santiago-Meseta Interior";"402,24";"60,57";"87,79";"99,79";"59,17";"76,05";"34,67";"52,12"
"Distrito IV - O Barbanza";"763,82";"70,07";"1.842,92";"428,00";"96,10";"2.218,17";"7,91";"163,33"
"Distrito V - Fisterra";"73,06";"124,23";"332,04";"168,28";"14,16";"107,31";"131,99";"10,25"
"Lugo [+]";"8.225,89";"440,23";"1.280,21";"422,30";"2.427,52";"14.501,32";"4.890,58";"396,75"
"Ourense [+]";"30.448,32";"1.321,13";"2.631,22";"13.084,20";"975,21";"32.079,52";"1.240,62";"1.240,71"
"Pontevedra [+]";"21.167,01";"472,11";"445,81";"433,78";"598,96";"2.367,64";"317,85";"756,56"
"Superficie arborada (ha)";"";"";"";"";"";"";"";""
"Galicia [+]";"32.267,50";"725,01";"3.046,95";"1.959,06";"2.270,07";"16.766,14";"3.953,34";"1.168,45"
"A Coruña [+]";"1.120,26";"165,66";"1.775,60";"376,45";"189,79";"968,01";"88,79";"143,44"
"Distrito I - Ferrol";"363,68";"14,63";"31,87";"9,39";"10,51";"95,39";"20,27";"3,43"
"Distrito II - Bergantiños-Mariñas Coruñesas";"167,21";"19,57";"66,19";"44,93";"76,09";"21,92";"28,86";"6,10"
"Distrito III - Santiago-Meseta Interior";"302,49";"26,87";"59,05";"72,17";"25,11";"59,35";"11,40";"19,51"
"Distrito IV - O Barbanza";"261,16";"56,88";"1.399,52";"187,40";"73,88";"746,80";"4,79";"107,01"
"Distrito V - Fisterra";"25,72";"47,71";"218,97";"62,56";"4,20";"44,55";"23,47";"7,39"
"Lugo [+]";"3.341,02";"60,89";"469,92";"204,74";"1.439,46";"5.962,13";"3.518,28";"234,08"
"Ourense [+]";"11.655,76";"272,53";"626,36";"1.176,79";"304,33";"8.110,62";"174,31";"249,30"
"Pontevedra [+]";"16.150,46";"225,93";"175,07";"201,08";"336,49";"1.725,38";"171,96";"541,63"
"Superfice rasa (ha)";"";"";"";"";"";"";"";""
"Galicia [+]";"29.828,76";"1.874,65";"3.788,58";"12.864,86";"2.133,11";"34.876,44";"2.795,58";"1.476,25"
"A Coruña [+]";"1.134,78";"200,53";"702,69";"507,19";"211,70";"1.726,09";"211,08";"107,24"
"Distrito I - Ferrol";"408,22";"60,82";"67,52";"32,86";"48,24";"151,73";"48,67";"12,23"
"Distrito II - Bergantiños-Mariñas Coruñesas";"76,81";"16,30";"49,96";"100,39";"97,22";"23,53";"27,50";"3,22"
"Distrito III - Santiago-Meseta Interior";"99,75";"33,70";"28,74";"27,62";"34,06";"16,70";"23,27";"32,61"
"Distrito IV - O Barbanza";"502,66";"13,19";"443,40";"240,60";"22,22";"1.471,37";"3,12";"56,32"
"Distrito V - Fisterra";"47,34";"76,52";"113,07";"105,72";"9,96";"62,76";"108,52";"2,86"
"Lugo [+]";"4.884,87";"379,34";"810,29";"217,56";"988,06";"8.539,19";"1.372,30";"162,67"
"Ourense [+]";"18.792,56";"1.048,60";"2.004,86";"11.907,41";"670,88";"23.968,90";"1.066,31";"991,41"
"Pontevedra [+]";"5.016,55";"246,18";"270,74";"232,70";"262,47";"642,26";"145,89";"214,93"
"";"";"";"";"";"";"";"";""
"Fonte: Consellería do Medio Rural. Información subministrada directamente.";"";"";"";"";"";"";"";""
"Notas: Para coñecer a composición de cada distrito forestal, ver definicións.";"";"";"";"";"";"";"";""
"(07-04-2025)";"";"";"";"";"";"";"";""

"IGE - Instituto Galego de Estatística"